"","name","interest","graded","program","skill.1","skill.2","skill.3","skill.4","skill.5","skill.6","skill.7","skill.8","topics","assignment"
"1","Abtrux Bolden","developing print and digital literacy","no","HDP",0,0,0,0,0,1,1,1,"“Many highly intelligent people are poor thinkers. Many people of average intelligence are skilled thinkers. The power of the car is separate from the way the car is driven.”",3
"2","Amy O’Connell","developing print and digital literacy","no","TIE",1,1,1,1,0,1,0,1,"All the knowledge",4
"3","Andrew Bennett","developing print and digital literacy","yes","TIE",1,0,1,0,1,0,0,1,"Learn more about informal learning and formative assessment.",5
"4","Angis Chamelle","developing print and digital literacy","yes","TIE",0,1,1,1,1,1,0,1,"“The most beautiful things in the creating of the child are his “mistakes.” The more a child’s work is full of these individual mistakes the more wonderful it is. And the more a teacher removes them from the child’s work the duller, more desolate and impersonal it becomes.”",2
"5","Batrick Shalporke","developing print and digital literacy","yes","EPM",0,1,0,0,0,1,0,0,"“The difference between school and life? In school, you’re taught a lesson and then given a test. In life, you’re given a test that teaches you a lesson.”",4
"6","Bilbert the Wearrey","developing print and digital literacy","no","IEP",0,1,1,0,1,0,1,1,"“If a man empties his purse into his head, no man can take it away from him. An investment in knowledge always pays the best interest.”",1
"7","Bonkin","developing print and digital literacy","no","TEP",1,0,1,1,0,0,1,0,"“The challenges are enormous but so is the potential.” – Craig Paxton, Ed.M.'09, executive director of Axium Education, on reaching South Africa's most rural communities.",2
"8","Brand","developing print and digital literacy","no","TIE",0,0,1,0,0,1,0,1,"“Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.”",3
"9","Cartice Marge","developing print and digital literacy","yes","L&T",1,0,1,0,0,0,0,1,"“Children have never been very good at listening to their elders, but they have never failed to imitate them.”",6
"10","Crount Scinger","developing print and digital literacy","no","TEP",1,0,1,0,0,1,0,0,"""Contending with frequent moves, new schools, and the echoes of deployments, these military-connected kids carry a unique weight—often invisible, often unacknowledged."" Reflecting on how schools can meet the needs of military families",0
"11","Delaner Dorks","developing print and digital literacy","yes","TIE",0,1,1,1,0,0,1,0,"Education not only teaches our children facts but also teaches them how to think and learn on their own.",3
"12","Elice Longbottom","developing print and digital literacy","yes","HDP",1,0,1,1,1,0,0,1,"Parents and teachers are always working up new tricks to give these students a bit of motivation. Of course, in many ways the best motivation for the young kids remains the old “carrot and stick” method. Let the child self reward when they do good jobs, and have a set of punishments when they do not live up to standards.",6
"13","Emily Ostermeyer","developing print and digital literacy","yes","EPM",0,0,1,0,1,1,0,0,"I'm interested in making innovative children's literature (interactive picture books)",3
"14","frank","developing print and digital literacy","yes","IEP",0,0,1,0,0,0,1,1,"I want to get everything possible out of this class",2
"15","Grongott","developing print and digital literacy","yes","L&L",0,0,0,1,1,1,0,0,"“The civic education we need now is, above all, an education in reasoning and arguing about big ethical questions that matter: justice, the common good, what it means to be a citizen,” says political philosopher Michael Sandel in recent talk",5
"16","Groyle","developing print and digital literacy","yes","PSP",1,0,1,1,0,0,1,0,"“Education is a progressive discovery of our own ignorance.”",1
"17","Gumistor Keverill","developing print and digital literacy","yes","MBE",1,0,1,1,0,0,1,0,"“It is a thousand times better to have common sense without education than to have education without common sense.”",0
"18","Jameson Studwell ","developing print and digital literacy","no","TIE",0,0,1,0,1,1,1,0,"I’m not sure. I just want to hang out with Joe and some muppets. ",2
"19","just testing","developing print and digital literacy","yes","SSP",0,1,0,1,1,1,1,1,"I want to read about how elmo and big bird have affected the way children think about the colors red and yellow, respectively",4
"20","Marcole","developing print and digital literacy","yes","IEP",0,1,1,1,1,1,0,0,"“The aim of education should be to teach us rather how to think, than what to think — rather to improve our minds, so as to enable us to think for ourselves, than to load the memory with thoughts of other men.”",6
"21","Milecs Brewett","developing print and digital literacy","no","MBE",1,0,0,0,0,1,0,1,"“A man’s mind, stretched by new ideas, may never return to its original dimensions.”",4
"22","Ollator Bardbey","developing print and digital literacy","no","EPM",0,0,1,0,0,0,1,1,"“If you are planning for a year, sow rice; if you are planning for a decade, plant trees; if you are planning for a lifetime, educate people.”",1
"23","Ollavord Pelpore","developing print and digital literacy","yes","TEP",0,1,1,0,1,1,1,1,"While a few kids are motivated to do well from their own thirst for knowledge. Most are not.",1
"24","Quintius Ufrid Fooral","developing print and digital literacy","no","AIE",1,0,0,1,0,0,1,0,"School may have been – or may currently be – boring, a killer of creativity or downright awful for you.",6
"25","Richlad of Grangoon","developing print and digital literacy","no","TIE",1,1,1,0,0,0,0,0,"“The whole purpose of education is to turn mirrors into windows.”",5
"26","Sir Livey","developing print and digital literacy","yes","TIE",1,0,1,1,0,0,0,1,"I feel education, both of our children and of ourselves, may be one of the most important things we can do today.",5
"27","Artus Pelice","helping children and teens become wiser consumers","yes","L&T",1,1,0,1,0,0,0,0,"Education is not only about the past and present, but it is also the key to the future. It will help discipline our children for the intellectual challenges of the rest of the 21st century.",8
"28","asdf","helping children and teens become wiser consumers","yes","AIE",1,0,0,0,1,0,0,1,"asdfsg",7
"29","Bloador","helping children and teens become wiser consumers","no","HDP",1,1,1,0,1,0,1,0,"“No man who worships education has got the best out of education…. Without a gentle contempt for education no man’s education is complete.”",10
"30","Bole","helping children and teens become wiser consumers","no","TEP",1,1,0,1,0,0,1,1,"“To teach is to learn twice.”",9
"31","Duric Alberton","helping children and teens become wiser consumers","no","HDP",1,0,1,0,1,0,1,0,"He is renewing the historic relationship between HGSE and Sesame Workshop, as recently documented in the Harvard Gazette",8
"32","Elacor Pavis","helping children and teens become wiser consumers","yes","HDP",1,1,1,0,0,1,1,0,"So in this post I’d like to share 54 timeless, thought-provoking and inspiring quotes on education.",8
"33","Gonelda Michortan","helping children and teens become wiser consumers","no","HDP",1,1,0,0,0,1,1,0,"“What does education often do? It makes a straight-cut ditch of a free, meandering brook.”",7
"34","Grolyne Twetcer","helping children and teens become wiser consumers","no","HDP",0,1,0,0,1,0,1,1,"How African American teachers have talked about and taught the stories of Nat Turner and other figures of black resistance and rebellion.",7
"35","Harry Potter","helping children and teens become wiser consumers","yes","TIE",1,1,1,1,1,1,1,1,"I want to be the best that there ever was, even better than you",9
"36","Horolf  Weasley","helping children and teens become wiser consumers","yes","IEP",1,1,1,1,1,1,0,1,"“Anyone who has never made a mistake has never tried anything new.”",10
"37","Joe Blatt","helping children and teens become wiser consumers","no","TIE",1,0,1,0,0,1,1,1,"I want to meet elmo",9
"38","Juliet Capulet","helping children and teens become wiser consumers","no","TIE",0,1,1,0,0,1,0,0,"I want to help kids make smart decisions when it comes to understanding the media that they are consuming, eg fake news",0
"39","Kendrick Perkins","helping children and teens become wiser consumers","no","TIE",0,0,0,1,1,1,0,0,"To first understand what a wise consumer is, developing a working theory for what an adult wise consumer is, then scaffold that learning in the context of children. ",9
"40","Romeo Montague","helping children and teens become wiser consumers","no","L&T",1,0,1,1,1,0,0,0,"I want to help children identify fake news and understand how to vet sources",10
"41","S. Gawce","helping children and teens become wiser consumers","yes","HDP",1,0,1,1,1,0,0,0,"“It is the mark of an educated mind to be able to entertain a thought without accepting it.”",8
"42","Thous Crove","helping children and teens become wiser consumers","no","EPM",0,1,1,0,1,1,0,0,"“The modern world belongs to the half-educated, a rather difficult class, because they do not realize how little they know.”",10
"43","Willy","helping children and teens become wiser consumers","yes","L&T",1,0,0,0,0,0,1,1,"He also created the Break Through television series to profile contemporary African American, Latino, and Native American scientists and engineers",7
"44","alex mcgee","improving children's health and fitness","no","L&T",0,0,1,1,0,1,0,1,"I'd like to teach kids how to eat cheese efficiently ",15
"45","Arthur Read","improving children's health and fitness","yes","Higher Ed",0,0,1,0,1,0,1,1,"I want to make healthy eating fun by incorporating science into cooking shows",13
"46","Bonferroni Correction","improving children's health and fitness","yes","TIE",0,0,0,1,0,1,0,0,"A job",14
"47","Cawtana Srinct","improving children's health and fitness","yes","MBE",0,1,1,0,1,0,0,0,"“Have you ever been at sea in a dense fog, when it seemed as if a tangible white darkness shut you in and the great ship, tense and anxious, groped her way toward the shore with plummet and sounding-line, and you waited with beating heart for something to happen? I was like that ship before my education began, only I was without compass or sounding line, and no way of knowing how near the harbor was. “Light! Give me light!” was the wordless cry of my soul, and the light of love shone on me in that very hour.”",13
"48","Colone Nurcoula","improving children's health and fitness","yes","IEP",1,0,1,1,0,0,0,1,"He was also co-creator and initial project director of the Usable Knowledge website, which makes HGSE faculty research available and accessible to practitioners.",15
"49","Diger Dervins","improving children's health and fitness","no","SSP",1,1,0,1,0,1,1,1,"“A well-educated mind will always have more questions than answers.”",13
"50","Greacher Pattwle","improving children's health and fitness","no","MBE",1,1,1,0,1,1,0,1,"Particularly younger kids may go into school kicking and screaming the whole way. While the best motivation will always be intrinsic motivation something has to be done to give kids that initial motivation until they grow up enough to motivate themselves.",14
"51","Herky Wessley","improving children's health and fitness","no","TEP",0,1,1,0,1,0,0,0,"“Why should society feel responsible only for the education of children, and not for the education of all adults of every age?”",0
"52","Laperida Coot","improving children's health and fitness","no","PSP",1,1,1,0,0,0,0,0,"Regardless, some of the educational quotes below will hopefully help students gain a little bit of motivation, or at least give parents and educators some ideas on applying some extrinsic motivation.",15
"53","Molly Prewett","improving children's health and fitness","yes","MBE",0,0,0,1,0,0,1,0,"“If you think education is expensive, try ignorance.”",13
"54","Mortaguus Flamper","improving children's health and fitness","no","SSP",0,1,1,1,0,0,0,0,"“The only thing that interferes with my learning is my education.”",11
"55","Negaline Jenserur","improving children's health and fitness","yes","MBE",1,0,1,1,1,0,1,1,"“Education makes a people easy to lead but difficult to drive: easy to govern, but impossible to enslave.”",15
"56","Netrin Gunk","improving children's health and fitness","yes","L&T",1,1,0,0,1,0,0,1,"But education is still important because it opens the mind and expands it.",14
"57","Nicki Anselmo","improving children's health and fitness","yes","AIE",0,1,0,0,0,0,0,1,"A portfolio-worthy concept, feedback from top execs and networking ",11
"58","Norsely Plutt","improving children's health and fitness","yes","L&L",0,0,0,1,1,1,1,0,"“What sculpture is to a block of marble education is to the human soul.”",12
"59","Peleroppe Kerter","improving children's health and fitness","yes","PSP",0,1,0,0,1,0,1,1,"“The first problem for all of us, men and women, is not to learn, but to unlearn.”",14
"60","Pille Torkis","improving children's health and fitness","yes","AIE",1,1,0,0,1,0,1,1,"“Aim for success, not perfection. Never give up your right to be wrong, because then you will lose the ability to learn new things and move forward with your life. Remember that fear always lurks behind perfectionism.”",11
"61","Romand McGorager","improving children's health and fitness","yes","MBE",1,0,1,1,1,1,1,1,"High school student-athlete Andraya Yearwood visited campus to share the story of her gender transition and the ways in which her school succeeded — and came up short — in supporting her through that time. ",12
"62","S. Poffor","improving children's health and fitness","yes","HDP",0,1,1,1,0,0,0,0,"“Treat people as if they were what they ought to be, and you help them to become what they are capable of becoming.”",11
"63","Sannis Broche","improving children's health and fitness","yes","IEP",1,0,0,0,0,1,1,0,"“Education would be much more effective if its purpose was to ensure that by the time they leave school every boy and girl should know how much they do not know, and be imbued with a lifelong desire to know it.”",12
"64","Sc Lyndrind","improving children's health and fitness","yes","IEP",0,0,0,1,0,1,0,0,"“Education is simply the soul of a society as it passes from one generation to another.”",12
"65","Angoline Welifla","Making moving films/tv","no","Higher Ed",0,0,1,0,1,0,0,0,"If you want to get some inspiration of your own, you may want to click on the link below, for some of the best motivational books you can buy. These books will get you fired up and ready to learn!",16
"66","Armolina Jeenbrodon","Making moving films/tv","yes","IEP",0,1,1,1,0,1,0,0,"And if your years in school were bad or boring you can still educate yourself now.",18
"67","Augustus Rooks","Making moving films/tv","yes","EPM",0,0,0,0,1,0,1,0,"“If someone is going down the wrong road, he doesn’t need motivation to speed him up. What he needs is education to turn him around.”",18
"68","Belatius Wellawont","Making moving films/tv","yes","HDP",1,1,1,1,0,0,0,1,"“It is impossible for a man to learn what he thinks he already knows.”",18
"69","Deself orde Porcer","Making moving films/tv","no","MBE",0,0,0,1,0,1,0,0,"Not much has changed, there, except you might be taking away time playing video games instead of taking away time from playing ball with their friends.",16
"70","Herafle onge Bornagoon","Making moving films/tv","yes","SSP",1,1,1,1,1,1,1,1,"“If a man is a fool, you don’t train him out of being a fool by sending him to university. You merely turn him into a trained fool, ten times more dangerous.”",18
"71","Libert Stinglen","Making moving films/tv","no","L&L",1,1,1,0,0,0,1,0,"“Much education today is monumentally ineffective. All too often we are giving young people cut flowers when we should be teaching them to grow their own plants.”",16
"72","Mernaga Jones","Making moving films/tv","no","SLP",1,0,0,0,0,1,1,0,"“Example is not the main thing in influencing others. It is the only thing.”",17
"73","Mornangua Mchinget","Making moving films/tv","no","HDP",1,0,1,0,1,0,0,0,"“The only person who is educated is the one who has learned how to learn …and change.”",17
"74","Nachranagare","Making moving films/tv","yes","L&L",0,0,0,0,0,1,0,0,"“You can teach a student a lesson for a day; but if you can teach him to learn by creating curiosity, he will continue the learning process as long as he lives.”",17
"75","TESTY MCTESTERSON","Making moving films/tv","yes","TIE",1,1,1,0,0,0,0,0,"Just whatever seems interesting. I like helping kids",16
"76","Theji Jayaratne","Making moving films/tv","no","HDP",1,0,0,0,1,1,1,1,"A final product that I can add to my production portfolio and talk about in job interviews",17
"77","Agasthya Pradhan Shenoy","promoting civic engagement and political participation","yes","SSP",0,1,0,0,1,0,1,1,"I want to create a product that will allow students to engage in their local governments",20
"78","Carcus Blencon","promoting civic engagement and political participation","no","HDP",1,0,1,1,0,0,0,1,"“Education cost money, but then so does ignorance.”",20
"79","Emily Shoemaker","promoting civic engagement and political participation","no","AIE",0,0,1,1,1,0,0,0,"I want kids to know more about the government and politics in general",23
